name,date,height,weight,Source
Brock Bricks,4/10/2019,185,95,CSVtest2.csv
Jack Brack,6/7/2019,172,91,CSVtest2.csv
Jack Smith,4/1/2019,185,91,CSVtest.csv
Jack Black,4/2/2019,183,91,CSVtest.csv
Brock Bricks,4/10/2019,185,95,NewCombinedFile_2022-12-16.csv
Jack Brack,6/7/2019,172,91,NewCombinedFile_2022-12-16.csv
Jack Smith,4/1/2019,185,91,NewCombinedFile_2022-12-16.csv
Jack Black,4/2/2019,183,91,NewCombinedFile_2022-12-16.csv
Rock Royden,2019-05-02 00:00:00,160,52,NewCombinedFile_2022-12-16.csv
Brandon Snads,2019-10-02 00:00:00,175,80,NewCombinedFile_2022-12-16.csv
Jen Smith,2019-05-02 00:00:00,153,50,NewCombinedFile_2022-12-16.csv
Sam Smith,2019-01-02 00:00:00,160,55,NewCombinedFile_2022-12-16.csv
Jane Smith,09/02/2019,170,75,NewCombinedFile_2022-12-16.csv
Jane Jackson,09/03/2019,172,74,NewCombinedFile_2022-12-16.csv
Becky Jackson,04/03/2019,165,70,NewCombinedFile_2022-12-16.csv
John Smithe,03/08/2019,185,101,NewCombinedFile_2022-12-16.csv
Brett Smithe,05/08/2019,179,99,NewCombinedFile_2022-12-16.csv
John Smith,02/08/2019,180,100,NewCombinedFile_2022-12-16.csv
Brock Bricks,4/10/19,185,95,NewCombinedFile_2022-12-16 edits.csv
Jack Brack,6/7/19,172,91,NewCombinedFile_2022-12-16 edits.csv
Jack Smith,4/1/19,185,91,NewCombinedFile_2022-12-16 edits.csv
Jack Black,4/2/19,183,91,NewCombinedFile_2022-12-16 edits.csv
Rock Royden,5/2/19 0:00,160,52,NewCombinedFile_2022-12-16 edits.csv
Brandon Snads,10/2/19 0:00,175,80,NewCombinedFile_2022-12-16 edits.csv
Jen Smith,5/2/19 0:00,153,50,NewCombinedFile_2022-12-16 edits.csv
Sam Smith,1/2/19 0:00,160,55,NewCombinedFile_2022-12-16 edits.csv
Jane Smith,9/2/19,170,75,NewCombinedFile_2022-12-16 edits.csv
Jane Jackson,9/3/19,172,74,NewCombinedFile_2022-12-16 edits.csv
Becky Jackson,4/3/19,165,70,NewCombinedFile_2022-12-16 edits.csv
John Smithe,3/8/19,185,101,NewCombinedFile_2022-12-16 edits.csv
Brett Smithe,5/8/19,179,99,NewCombinedFile_2022-12-16 edits.csv
John Smith,2/8/19,180,100,NewCombinedFile_2022-12-16 edits.csv
John Doe,12/15/22,172,89,NewCombinedFile_2022-12-16 edits.csv
Jane Doe,12/16/22,160,70,NewCombinedFile_2022-12-16 edits.csv
Carrie Snyder,12/16/22,165,80,NewCombinedFile_2022-12-16 edits.csv
Mark Smiith,12/16/22,178,88,NewCombinedFile_2022-12-16 edits.csv
Rock Royden,2019-05-02 00:00:00,160,52,EXCELtest2.xlsx
Brandon Snads,2019-10-02 00:00:00,175,80,EXCELtest2.xlsx
Jen Smith,2019-05-02 00:00:00,153,50,EXCELtest.xlsx
Sam Smith,2019-01-02 00:00:00,160,55,EXCELtest.xlsx
Jane Smith,09/02/2019,170,75,JSONtest.json
Jane Jackson,09/03/2019,172,74,JSONtest2.json
Becky Jackson,04/03/2019,165,70,JSONtest3.json
John Smithe,03/08/2019,185,101,XMLtest2.xml
Brett Smithe,05/08/2019,179,99,XMLtest3.xml
John Smith,02/08/2019,180,100,XMLtest.xml
